track_id,tsne-one,tsne-two,tsne-three
3UMpcCyG1Dj0yDb377vu2K,3.5585997,-3.7439156,-5.592712
3x4KIuoye6F12loCFckCX3,-1.1792207,-0.61111397,9.703927
70NxaxjB8IjX4YxXbT90iX,-6.103945,-1.5104733,2.531744
3tcoEYOZUHKB3RKNByIN13,3.638174,-3.6623368,-5.857757
3QybPutx0Tjk472bBKjNWn,-1.8074946,2.3537474,9.01377
2bSk87AVkCIIC3Bcligq1z,3.3515515,-2.0360003,2.9774168
5PTG6rrL6EPFD9E2QMI2pl,0.112680726,-5.3136997,-5.035737
5lf3ajySox32qFvGEf2TFM,4.8066645,4.7782407,-0.67371714
27a1mYSG5tYg7dmEjWBcmL,-6.3353558,-1.5759625,-2.642557
2xLMifQCjDGFmkHkpNLD9h,-7.545531,1.3147887,0.036236048
0U06Yqe0nkkJlptlr7O4uO,3.256858,-4.7872305,-4.533408
7ycWLEP1GsNjVvcjawXz3z,8.183038,1.0694412,-0.040726066
628Ueb4sRiXApObhcU9iPU,-6.194035,-1.592249,2.3883593
0TlLq3lA83rQOYtrqBqSct,3.494811,-2.256689,3.376265
4q8JUr4eOWAxVeI4NqWz4s,-0.102152705,1.1029024,10.163041
6vN77lE9LK6HP2DewaN6HZ,5.100512,-7.2923355,-0.8635266
0Fpen1PTuEnCmOJtUU9Iud,-7.7377105,1.3244052,-0.8562339
0B8QzDH7YWih85V5SEMnyJ,4.1116652,-2.0861042,0.23981741
6Q1NPLtp9IzcXmCutp3Qmo,3.7936122,-2.2284663,0.40601152
1f5cbQtDrykjarZVrShaDI,-2.9699893,3.2114758,-3.526933
7sO5G9EABYOXQKNPNiE9NR,4.3124113,-1.0356642,2.8038244
2ZLSnT49tvHVEhrhsrw483,-6.578724,0.2429498,-0.3685433
3LUPftNsM4KOk7kINY8keB,2.8045483,-2.0915165,-2.1220422
33tNYw9oMtSkGe27NpgS64,-5.4908457,-1.873391,1.0036925
4S8d14HvHb70ImctNgVzQQ,2.9717429,-4.0116243,2.0803163
1BxkZE73h9BN3qwuA15TA3,-3.6130857,3.2280674,6.036914
59J5nzL1KniFHnU120dQzt,5.366054,4.0262,-1.4606745
20bLudc6r1NChyZcrjRd7T,5.1224008,-1.5282382,-0.4398318
4B8T2F8aKcuMW6EmNnbMY9,2.6312149,-3.9331157,2.520692
1u8W15iCBmS1dK4cNrBHgk,-0.6003251,2.4942665,7.5437536
2XaInsPPUkZRkY4uFJ3AHK,-4.358735,-1.2700853,2.4648457
4DTpngLjoHj5gFxEZFeD3J,2.9458652,-1.8758823,-2.091019
6wWaVoUOzLQJHd3bWAUpdZ,1.5183979,-3.6560373,-5.422839
6yz0Jndhv0QjKdpcEMbOjz,3.783324,-2.5293202,-2.1943018
4mHgYpuGHu99Mw69E83CP2,7.1996717,2.0371277,-0.4489751
0JYAsQJWIuaYUvZGF1qapT,-5.328758,2.7301877,-5.8967533
69PkhA9q3xCWU2CzoZnLAu,2.6478727,-4.2480116,-4.466446
1rlIrbWboTRGeKfHhgbJRZ,5.135099,5.055872,-1.4394698
7l3E7lcozEodtVsSTCkcaA,0.3089014,0.6958503,1.8599112
3edzl4zvKFi0D3iuF6cs2f,-6.8489637,0.21216108,-2.6493475
4MAsYGSgxsaj73dC2lvFC4,-5.440667,-1.9046369,0.9568738
3F57PtOdqRpD6euFYqtKXX,2.5655956,-4.0985694,2.3131223
1dQ84P0W0lOckT02lPEhhP,6.0379405,5.8807645,-1.0321558
2jBQmxZpQxF8jJfEdjJ9Qv,-6.922037,2.0865157,-4.098185
04MLEeAMuV9IlHEsD8vF6A,-6.207098,-1.6994902,-2.4362652
0UgavZ34yLBu8LtA6Bwxch,4.6380477,-1.875701,-1.7707385
4XRNrCApRBIeOZ5bYqo4lE,4.8341436,-8.00832,1.3997928
3bJS7RCjB6aNp5J219AmN3,-0.6283848,-6.7875,3.6166065
20BSdaBpIUvUv6PUvqJN8l,2.6003726,-2.7163048,3.8451226
1jQvUmf16VE9WQCPuK2e8K,-4.134211,2.0651636,8.903622
6f5i916F3jU6BhOOD7iGqf,-0.40089875,0.4831263,10.54478
3sHPSPSfMzziQD1v6U6vz0,7.0397677,-0.6065723,-0.21157983
70QV2FCEWH7SZK6wZJtXLk,1.9012994,-3.3331704,-4.8458543
7rC5Pl8rQSX4myONQHYPBK,7.2478094,1.2584225,-0.85948694
0kCBorRrKZkSztd9m0QI3r,6.2789783,-1.4793427,-0.17801717
0CBQ0m3mufWH75LTYB3s6h,-0.66521066,6.8562117,-5.681645
3wScL5W8H40zzCKN0atfBk,-0.6471879,6.779496,-5.639396
10I3CmmwT0BkOVhduDy53o,-4.2360888,-0.48404628,3.0015414
1iPBD72u3nAyFEeardYuBV,0.93764347,1.5947211,9.843433
7d6XJZjnm7iWcKwYL9z5kC,1.1671872,1.842072,9.621823
2NRGaA1GyCmTYfm2GRPkUe,-1.7058218,0.25381812,10.730039
429JfLMd92ya7rs0azUkQA,-6.4290037,-1.2769865,-2.9907112
5YEOzOojehCqxGQCcQiyR4,-5.550376,3.5746567,-4.318616
4BWxam2NKT4KKu7crGUVo3,-5.6254635,0.22021103,-3.305808
3etxMncvnemdyJlDVBuIat,-1.9918076,1.291591,-9.470412
1hOoLI7psTWFbQ0oCNfcSF,4.1448493,-2.2658565,-1.824665
0ibOcbkp2XG46Do8jcy0bL,0.2871546,-5.194744,-4.7716084
0chpIFSjgfd1CPrAxM7PWp,5.2840633,-5.5531397,4.8130517
14mHfNsSHN0FbLftyjrV9g,-6.536134,-1.0050632,-1.3892133
5hTpBe8h35rJ67eAWHQsJx,5.141317,-7.3133097,-0.90364677
1cTZMwcBJT0Ka3UJPXOeeN,-7.1364985,5.93789,1.2646827
2G7V7zsVDxg1yRsu7Ew9RJ,5.843568,6.27779,-0.73840654
5IaHrVsrferBYDm0bDyABy,3.8438146,-1.3003646,3.1523688
2vs5ubqg8QUbfyWZpMfvWe,5.1327443,3.2878652,-2.0617995
2EhJijFUs0WUmNClDBpYJq,4.803916,-7.706406,-0.80801916
30z4LVkScpeNhwHFIB8Ewa,1.557957,-0.4180448,-8.294454
4zLOwx1yRJXWkHKt1XzF1p,4.406271,0.21743435,6.013379
39Bq9cOTO0H8M6P9iKLVdq,-7.8903737,5.613046,1.5545269
2e3oSed7fWKJ63VCxtMAAH,1.9875748,-2.689555,3.5588853
7BbJw7SeLDxB9ywy6EZjA2,-5.6743174,2.6222343,-6.5997715
1B4gJRq61xTs6r1O0Uq2iY,2.7772121,-4.1691017,-4.396627
5gub2bpJRgJP4m4MliqtdV,1.4229974,1.2668589,10.051218
27P4XoNXXEV4lTc3sB61RK,1.1431984,1.9891934,9.699678
48t1aADyfDbDA3TzxqQHrN,-5.7936687,-2.8500233,-0.028379181
5274I4mUMnYczyeXkGDWZN,-1.8713822,-7.0011997,-0.3616903
5ExHDzOoOhC4xZGPh9zyQZ,5.364686,-5.3687015,4.5336256
75lcPkAkUsKWHGBlGM476R,4.095033,-2.4558234,-2.2498398
1fvCggAYrW0VtCljtqv4h2,5.885366,5.491699,-1.330316
22ykS8KWpd2r4zcRZ0XMK5,6.3558745,-4.9839096,2.792611
1fewSx2d5KIZ04wsooEBOz,7.372673,0.030831128,-0.74285
0JRn9gyDQeW9VjW4S126tT,0.36038837,1.1085567,10.119909
5eq8CDTzJIOq0aMtwbp5Gn,0.90521866,-4.653212,-5.599466
2TxIZb5ZKd8Rb10q62n4Fq,3.7185822,-3.551871,-6.1770296
4mt4VMndCT5kP2GwXKcECc,-7.654911,1.1147591,-1.3642731
4qKcDkK6siZ7Jp1Jb4m0aL,2.7854726,-4.086006,-4.2687907
26URbmR1pY1Fy5ZYdH2bi3,-8.1436205,5.49764,1.5767709
0tMhVRGuPn1rmn3kzVIPLk,-7.9331203,5.5881968,1.5920951
6bMIExEulvwM2X6zsuiYwr,-8.013628,5.5752363,1.6415213
6kl1qtQXQsFiIWRBK24Cfp,-0.06359626,0.68588924,1.7013615
6xhblLundMJAiG9jF7nlxs,-6.759513,0.55142343,-2.7979622
6n4U3TlzUGhdSFbUUhTvLP,-7.4185987,1.2108345,0.25484234
